StateCode,TotalNumberofInvestments,TotalAmountofAssistance,Year
CA,894,29151216,2014
CO,131,912090,2014
CT,21,550895,2014
DE,35,1312584,2014
FL,34,780653,2014
GA,272,71736786,2014
HI,12,824132,2014
ID,69,522844,2014
IL,17,5042408,2014
IN,30,2191170,2014
IA,76,10309997,2014
KS,93,3300384,2014
KY,25,1641293,2014
LA,37,1128463,2014
ME,24,214319,2014
MD,58,1448908,2014
MA,18,321026,2014
MI,32,4516112,2014
MN,44,3564636,2014
MS,475,2893191,2014
MO,601,20629923,2014
MT,58,893778,2014
NE,280,4870186,2014
NV,9,92712,2014
NH,30,1197779,2014
NJ,30,330058,2014
NM,10,15481478,2014
NY,52,2223055,2014
NC,75,74971142,2014
ND,12,151123,2014
OH,122,1002796,2014
OK,38,1619632,2014
OR,92,3268473,2014
PA,59,3419540,2014
RI,5,385008,2014
SC,16,675033,2014
SD,16,2512433,2014
TN,42,955605,2014
TX,95,6864499,2014
UT,122,292918,2014
VT,23,633509,2014
VA,44,1264174,2014
WA,48,1947421,2014
WV,102,701031,2014
WI,61,2223469,2014
WY,14,94737,2014
